Global Land and Ocean Temperature Anomalies,
189812,12.1
189901,11.87
189902,11.78
189903,12.38
189904,13.52
189905,14.63
189906,15.24
189907,15.63
189908,15.5
189909,14.96
189910,13.91
189911,13.01
189912,12.02
190001,11.68
190002,12.04
190003,12.67
190004,13.61
190005,14.74
190006,15.46
190007,15.71
190008,15.53
190009,14.94
190010,14.08
190011,12.77
190012,12.22
190101,11.87
190102,12.02
190103,12.67
190104,13.64
190105,14.69
190106,15.42
190107,15.67
190108,15.42
190109,14.75
190110,13.68
190111,12.7
190112,11.93
190201,11.89
190202,12.05
190203,12.48
190204,13.43
190205,14.51
190206,15.2
190207,15.53
190208,15.31
190209,14.72
190210,13.68
190211,12.55
190212,11.83
190301,11.76
190302,12.01
190303,12.45
190304,13.34
190305,14.39
190306,15.12
190307,15.41
190308,15.16
190309,14.54
190310,13.49
190311,12.42
190312,11.73
190401,11.4
190402,11.53
190403,12.13
190404,13.21
190405,14.35
190406,15.05
190407,15.3
190408,15.16
190409,14.52
190410,13.58
190411,12.75
190412,11.91
190501,11.65
190502,11.48
190503,12.31
190504,13.31
190505,14.54
190506,15.26
190507,15.57
190508,15.41
190509,14.79
190510,13.75
190511,12.83
190512,12.12
190601,11.86
190602,11.87
190603,12.53
190604,13.64
190605,14.58
190606,15.35
190607,15.59
190608,15.37
190609,14.72
190610,13.72
190611,12.56
190612,12.05
190701,11.63
190702,11.62
190703,12.39
190704,13.34
190705,14.34
190706,15.13
190707,15.47
190708,15.28
190709,14.65
190710,13.71
190711,12.42
190712,11.78
190801,11.63
190802,11.74
190803,12.12
190804,13.26
190805,14.42
190806,15.13
190807,15.43
190808,15.15
190809,14.63
190810,13.5
190811,12.4
190812,11.79
190901,11.42
190902,11.64
190903,12.2
190904,13.1
190905,14.31
190906,15.04
190907,15.33
190908,15.28
190909,14.66
190910,13.64
190911,12.62
190912,11.78
191001,11.65
191002,11.7
191003,12.19
191004,13.32
191005,14.49
191006,15.16
191007,15.49
191008,15.25
191009,14.63
191010,13.57
191011,12.42
191012,11.62
191101,11.46
191102,11.53
191103,12.11
191104,13.16
191105,14.27
191106,15.02
191107,15.33
191108,15.16
191109,14.6
191110,13.68
191111,12.66
191112,12
191201,11.73
191202,11.97
191203,12.38
191204,13.5
191205,14.6
191206,15.28
191207,15.45
191208,15.14
191209,14.47
191210,13.46
191211,12.48
191212,11.8
191301,11.65
191302,11.69
191303,12.25
191304,13.32
191305,14.4
191306,15.12
191307,15.49
191308,15.31
191309,14.66
191310,13.69
191311,12.74
191312,12.16
191401,12.11
191402,11.98
191403,12.52
191404,13.45
191405,14.65
191406,15.31
191407,15.58
191408,15.4
191409,14.79
191410,13.9
191411,12.8
191412,12.11
191501,11.85
191502,12.1
191503,12.61
191504,13.73
191505,14.74
191506,15.36
191507,15.73
191508,15.49
191509,14.83
191510,13.77
191511,12.87
191512,12.09
191601,11.87
191602,11.93
191603,12.42
191604,13.44
191605,14.48
191606,15.1
191607,15.47
191608,15.28
191609,14.67
191610,13.72
191611,12.46
191612,11.57
191701,11.47
191702,11.52
191703,12.07
191704,13.23
191705,14.23
191706,15.11
191707,15.6
191708,15.43
191709,14.89
191710,13.67
191711,12.68
191712,11.65
191801,11.67
191802,11.72
191803,12.39
191804,13.26
191805,14.34
191806,15.15
191807,15.5
191808,15.29
191809,14.8
191810,13.89
191811,12.77
191812,11.85
191901,11.76
191902,11.98
191903,12.47
191904,13.64
191905,14.55
191906,15.22
191907,15.55
191908,15.3
191909,14.76
191910,13.76
191911,12.5
191912,11.79
192001,11.79
192002,11.77
192003,12.61
192004,13.51
192005,14.63
192006,15.25
192007,15.56
192008,15.36
192009,14.82
192010,13.77
192011,12.67
192012,11.77
192101,11.92
192102,11.92
192103,12.44
192104,13.49
192105,14.56
192106,15.34
192107,15.67
192108,15.38
192109,14.86
192110,13.94
192111,12.73
192112,12.1
192201,11.69
192202,11.78
192203,12.59
192204,13.54
192205,14.49
192206,15.23
192207,15.55
192208,15.3
192209,14.68
192210,13.72
192211,12.74
192212,12
192301,11.76
192302,11.67
192303,12.37
192304,13.31
192305,14.52
192306,15.26
192307,15.5
192308,15.27
192309,14.71
192310,13.81
192311,12.87
192312,12.19
192401,11.78
192402,11.91
192403,12.61
192404,13.47
192405,14.65
192406,15.3
192407,15.57
192408,15.29
192409,14.71
192410,13.69
192411,12.61
192412,11.79
192501,11.59
192502,11.71
192503,12.46
192504,13.52
192505,14.58
192506,15.26
192507,15.59
192508,15.44
192509,14.86
192510,13.83
192511,12.95
192512,12.31
192601,12.13
192602,12.13
192603,12.76
192604,13.57
192605,14.68
192606,15.39
192607,15.61
192608,15.5
192609,14.89
192610,13.92
192611,12.83
192612,11.98
192701,11.77
192702,11.9
192703,12.4
192704,13.45
192705,14.58
192706,15.31
192707,15.67
192708,15.44
192709,14.93
192710,14.01
192711,12.85
192712,11.92
192801,11.92
192802,11.94
192803,12.44
192804,13.46
192805,14.59
192806,15.23
192807,15.64
192808,15.4
192809,14.83
192810,13.84
192811,12.81
192812,12.03
192901,11.51
192902,11.53
192903,12.39
192904,13.37
192905,14.48
192906,15.15
192907,15.47
192908,15.36
192909,14.78
192910,13.86
192911,12.79
192912,11.67
193001,11.66
193002,11.86
193003,12.62
193004,13.49
193005,14.62
193006,15.37
193007,15.71
193008,15.51
193009,14.9
193010,13.98
193011,13.06
193012,12.21
193101,11.97
193102,11.88
193103,12.69
193104,13.57
193105,14.66
193106,15.48
193107,15.79
193108,15.62
193109,15.01
193110,14.04
193111,12.78
193112,12.12
193201,12.15
193202,11.93
193203,12.51
193204,13.67
193205,14.64
193206,15.31
193207,15.65
193208,15.41
193209,14.92
193210,13.91
193211,12.69
193212,11.98
193301,11.72
193302,11.78
193303,12.43
193304,13.49
193305,14.57
193306,15.25
193307,15.6
193308,15.39
193309,14.75
193310,13.8
193311,12.66
193312,11.8
193401,11.7
193402,12.02
193403,12.38
193404,13.43
193405,14.74
193406,15.47
193407,15.73
193408,15.56
193409,14.88
193410,13.97
193411,12.93
193412,12.18
193501,11.72
193502,12.27
193503,12.54
193504,13.41
193505,14.58
193506,15.31
193507,15.65
193508,15.45
193509,14.87
193510,13.97
193511,12.64
193512,12.05
193601,11.73
193602,11.8
193603,12.53
193604,13.53
193605,14.69
193606,15.36
193607,15.75
193608,15.52
193609,14.93
193610,13.99
193611,12.89
193612,12.2
193701,11.82
193702,12.13
193703,12.52
193704,13.57
193705,14.78
193706,15.53
193707,15.8
193708,15.68
193709,15.14
193710,14.1
193711,12.98
193712,12.13
193801,12.02
193802,12.09
193803,12.74
193804,13.78
193805,14.77
193806,15.39
193807,15.73
193808,15.55
193809,15.01
193810,14.08
193811,12.92
193812,12
193901,11.89
193902,12.01
193903,12.53
193904,13.6
193905,14.78
193906,15.5
193907,15.79
193908,15.65
193909,15.01
193910,14
193911,12.99
193912,12.7
194001,12.01
194002,12.23
194003,12.8
194004,13.89
194005,14.94
194006,15.63
194007,15.96
194008,15.74
194009,15.2
194010,14.16
194011,13.11
194012,12.55
194101,12.27
194102,12.44
194103,12.88
194104,13.98
194105,15.08
194106,15.75
194107,16.08
194108,15.84
194109,15.14
194110,14.42
194111,13.22
194112,12.46
194201,12.29
194202,12.16
194203,12.84
194204,13.86
194205,14.94
194206,15.66
194207,15.83
194208,15.6
194209,15.04
194210,14.07
194211,12.99
194212,12.31
194301,11.97
194302,12.21
194303,12.67
194304,13.81
194305,14.9
194306,15.48
194307,15.9
194308,15.67
194309,15.1
194310,14.26
194311,13.1
194312,12.5
194401,12.4
194402,12.38
194403,13.05
194404,13.95
194405,15.05
194406,15.81
194407,16.11
194408,15.87
194409,15.37
194410,14.32
194411,13.04
194412,12.33
194501,12.17
194502,12.16
194503,12.8
194504,13.99
194505,14.98
194506,15.64
194507,15.94
194508,15.96
194509,15.27
194510,14.28
194511,13.09
194512,12.19
194601,12.25
194602,12.24
194603,12.73
194604,13.86
194605,14.78
194606,15.36
194607,15.73
194608,15.49
194609,14.98
194610,14
194611,12.87
194612,11.92
194701,11.84
194702,12.03
194703,12.73
194704,13.76
194705,14.79
194706,15.53
194707,15.77
194708,15.53
194709,14.89
194710,14.06
194711,12.9
194712,12.07
194801,12.07
194802,12.01
194803,12.52
194804,13.65
194805,14.87
194806,15.5
194807,15.75
194808,15.56
194809,14.9
194810,13.94
194811,12.83
194812,12.09
194901,12.12
194902,11.96
194903,12.65
194904,13.68
194905,14.78
194906,15.33
194907,15.71
194908,15.53
194909,14.89
194910,13.94
194911,12.82
194912,12.02
195001,11.71
195002,11.87
195003,12.6
195004,13.52
195005,14.76
195006,15.46
195007,15.71
195008,15.47
195009,14.92
195010,13.84
195011,12.56
195012,12.05
195101,11.72
195102,11.71
195103,12.55
195104,13.62
195105,14.87
195106,15.55
195107,15.91
195108,15.72
195109,15.17
195110,14.13
195111,12.93
195112,12.42
195201,12.13
195202,12.21
195203,12.69
195204,13.78
195205,14.85
195206,15.55
195207,15.87
195208,15.67
195209,15.11
195210,14.01
195211,12.75
195212,12.22
195301,12.09
195302,12.28
195303,12.9
195304,13.94
195305,14.98
195306,15.68
195307,15.91
195308,15.71
195309,15.1
195310,14.12
195311,12.88
195312,12.29
195401,11.8
195402,12.04
195403,12.61
195404,13.57
195405,14.63
195406,15.4
195407,15.67
195408,15.51
195409,14.95
195410,13.95
195411,12.95
195412,12.02
195501,12.14
195502,12
195503,12.4
195504,13.47
195505,14.66
195506,15.39
195507,15.69
195508,15.58
195509,14.92
195510,13.88
195511,12.67
195512,11.94
195601,11.86
195602,11.86
195603,12.52
195604,13.43
195605,14.56
195606,15.36
195607,15.68
195608,15.43
195609,14.79
195610,13.81
195611,12.74
195612,12.08
195701,11.91
195702,12.03
195703,12.65
195704,13.72
195705,14.93
195706,15.67
195707,15.9
195708,15.76
195709,15.13
195710,14.03
195711,13.01
195712,12.41
195801,12.32
195802,12.32
195803,12.85
195804,13.8
195805,14.89
195806,15.58
195807,15.89
195808,15.69
195809,15.05
195810,14.07
195811,12.97
195812,12.35
195901,12.15
195902,12.18
195903,12.91
195904,13.82
195905,14.86
195906,15.61
195907,15.88
195908,15.67
195909,15.11
195910,14
195911,12.84
195912,12.21
196001,12.04
196002,12.31
196003,12.52
196004,13.64
196005,14.75
196006,15.59
196007,15.86
196008,15.69
196009,15.11
196010,14.06
196011,12.86
196012,12.47
196101,12.13
196102,12.3
196103,12.87
196104,13.85
196105,14.97
196106,15.65
196107,15.87
196108,15.65
196109,15.04
196110,13.98
196111,12.94
196112,12.19
196201,12.12
196202,12.27
196203,12.86
196204,13.8
196205,14.87
196206,15.54
196207,15.92
196208,15.68
196209,15.1
196210,14.12
196211,12.99
196212,12.31
196301,12.06
196302,12.37
196303,12.68
196304,13.72
196305,14.83
196306,15.54
196307,15.93
196308,15.78
196309,15.18
196310,14.22
196311,13.11
196312,12.29
196401,12.01
196402,12.04
196403,12.54
196404,13.5
196405,14.71
196406,15.43
196407,15.72
196408,15.44
196409,14.81
196410,13.75
196411,12.69
196412,11.95
196501,11.93
196502,11.91
196503,12.61
196504,13.52
196505,14.72
196506,15.46
196507,15.73
196508,15.55
196509,14.97
196510,14.02
196511,12.83
196512,12.19
196601,11.95
196602,12.07
196603,12.72
196604,13.63
196605,14.76
196606,15.57
196607,15.9
196608,15.65
196609,15.02
196610,13.93
196611,12.87
196612,12.12
196701,11.91
196702,11.92
196703,12.72
196704,13.7
196705,14.95
196706,15.47
196707,15.8
196708,15.61
196709,14.97
196710,14.15
196711,12.89
196712,12.17
196801,11.8
196802,11.98
196803,12.85
196804,13.63
196805,14.71
196806,15.47
196807,15.78
196808,15.61
196809,15
196810,14.05
196811,12.91
196812,12.17
196901,11.91
196902,12.02
196903,12.82
196904,13.88
196905,14.99
196906,15.58
196907,15.9
196908,15.71
196909,15.09
196910,14.09
196911,13.1
196912,12.48
197001,12.14
197002,12.34
197003,12.76
197004,13.83
197005,14.85
197006,15.54
197007,15.82
197008,15.62
197009,15.04
197010,13.98
197011,12.94
197012,12.12
197101,12.01
197102,11.91
197103,12.59
197104,13.6
197105,14.72
197106,15.38
197107,15.76
197108,15.56
197109,14.97
197110,13.92
197111,12.92
197112,12.15
197201,11.75
197202,11.95
197203,12.73
197204,13.77
197205,14.82
197206,15.57
197207,15.87
197208,15.7
197209,15.03
197210,14.09
197211,12.98
197212,12.46
197301,12.28
197302,12.51
197303,13.07
197304,13.99
197305,15.03
197306,15.74
197307,15.96
197308,15.72
197309,15.1
197310,14.07
197311,12.93
197312,12.23
197401,11.81
197402,11.86
197403,12.67
197404,13.65
197405,14.78
197406,15.47
197407,15.82
197408,15.64
197409,14.99
197410,13.93
197411,12.83
197412,12.1
197501,12.11
197502,12.16
197503,12.82
197504,13.78
197505,14.88
197506,15.56
197507,15.83
197508,15.56
197509,15.04
197510,13.88
197511,12.74
197512,12.1
197601,11.98
197602,11.98
197603,12.48
197604,13.69
197605,14.67
197606,15.42
197607,15.73
197608,15.55
197609,14.98
197610,13.81
197611,12.87
197612,12.3
197701,12.13
197702,12.36
197703,13.01
197704,13.99
197705,15.06
197706,15.77
197707,15.99
197708,15.75
197709,15.19
197710,14.12
197711,13.15
197712,12.31
197801,12.16
197802,12.25
197803,12.93
197804,13.83
197805,14.88
197806,15.55
197807,15.87
197808,15.61
197809,15.09
197810,14.07
197811,13.1
197812,12.34
197901,12.15
197902,12.15
197903,12.93
197904,13.81
197905,14.97
197906,15.71
197907,16
197908,15.84
197909,15.26
197910,14.29
197911,13.19
197912,12.72
198001,12.33
198002,12.49
198003,12.98
198004,14.02
198005,15.17
198006,15.76
198007,16.03
198008,15.81
198009,15.2
198010,14.18
198011,13.21
198012,12.47
198101,12.51
198102,12.5
198103,13.14
198104,14.05
198105,15.07
198106,15.8
198107,16.05
198108,15.84
198109,15.18
198110,14.18
198111,13.17
198112,12.68
198201,12.14
198202,12.29
198203,12.8
198204,13.92
198205,15.01
198206,15.64
198207,15.96
198208,15.74
198209,15.24
198210,14.18
198211,13.05
198212,12.63
198301,12.53
198302,12.59
198303,13.13
198304,13.99
198305,15.11
198306,15.8
198307,16.1
198308,15.96
198309,15.34
198310,14.24
198311,13.34
198312,12.47
198401,12.29
198402,12.28
198403,13
198404,13.84
198405,15.11
198406,15.64
198407,15.95
198408,15.79
198409,15.18
198410,14.14
198411,12.96
198412,12.12
198501,12.22
198502,12.16
198503,12.9
198504,13.85
198505,15.01
198506,15.65
198507,15.9
198508,15.76
198509,15.14
198510,14.15
198511,13.03
198512,12.42
198601,12.31
198602,12.4
198603,13
198604,13.96
198605,15.07
198606,15.74
198607,15.97
198608,15.8
198609,15.18
198610,14.22
198611,13.06
198612,12.42
198701,12.32
198702,12.6
198703,12.97
198704,14
198705,15.16
198706,15.83
198707,16.23
198708,16
198709,15.45
198710,14.35
198711,13.25
198712,12.73
198801,12.56
198802,12.54
198803,13.23
198804,14.16
198805,15.21
198806,15.9
198807,16.17
198808,15.94
198809,15.34
198810,14.31
198811,13.1
198812,12.54
198901,12.17
198902,12.4
198903,13.05
198904,13.99
198905,15.08
198906,15.76
198907,16.12
198908,15.92
198909,15.31
198910,14.29
198911,13.13
198912,12.6
199001,12.36
199002,12.51
199003,13.46
199004,14.23
199005,15.27
199006,15.92
199007,16.19
199008,15.99
199009,15.33
199010,14.43
199011,13.37
199012,12.62
199101,12.43
199102,12.56
199103,13.06
199104,14.22
199105,15.2
199106,15.99
199107,16.22
199108,15.97
199109,15.35
199110,14.29
199111,13.2
199112,12.48
199201,12.46
199202,12.53
199203,13.14
199204,14.01
199205,15.12
199206,15.77
199207,15.91
199208,15.71
199209,15.05
199210,14.05
199211,12.94
199212,12.45
199301,12.36
199302,12.48
199303,13.11
199304,14.01
199305,15.15
199306,15.83
199307,16.07
199308,15.82
199309,15.18
199310,14.22
199311,12.97
199312,12.47
199401,12.27
199402,12.18
199403,13.08
199404,14.06
199405,15.2
199406,15.9
199407,16.11
199408,15.9
199409,15.33
199410,14.42
199411,13.36
199412,12.62
199501,12.56
199502,12.83
199503,13.2
199504,14.15
199505,15.17
199506,15.96
199507,16.22
199508,16.1
199509,15.4
199510,14.44
199511,13.35
199512,12.53
199601,12.25
199602,12.56
199603,13.05
199604,13.96
199605,15.19
199606,15.84
199607,16.13
199608,15.94
199609,15.25
199610,14.21
199611,13.19
199612,12.58
199701,12.34
199702,12.54
199703,13.2
199704,14.12
199705,15.22
199706,16.03
199707,16.3
199708,16.15
199709,15.61
199710,14.64
199711,13.48
199712,12.83
199801,12.6
199802,12.97
199803,13.37
199804,14.46
199805,15.5
199806,16.23
199807,16.54
199808,16.31
199809,15.53
199810,14.48
199811,13.32
199812,12.79
199901,12.51
199902,12.8
199903,13.1
199904,14.17
199905,15.2
199906,15.91
199907,16.2
199908,15.96
199909,15.39
199910,14.34
199911,13.25
199912,12.73
200001,12.34
200002,12.66
200003,13.25
200004,14.33
200005,15.23
200006,15.89
200007,16.2
200008,16.06
200009,15.42
200010,14.32
200011,13.16
200012,12.53
200101,12.47
200102,12.51
200103,13.35
200104,14.29
200105,15.42
200106,16.05
200107,16.4
200108,16.21
200109,15.54
200110,14.52
200111,13.61
200112,12.77
200201,12.71
200202,12.89
200203,13.52
200204,14.28
200205,15.39
200206,16.1
200207,16.43
200208,16.16
200209,15.58
200210,14.49
200211,13.49
200212,12.69
200301,12.71
200302,12.69
200303,13.31
200304,14.28
200305,15.42
200306,16.05
200307,16.4
200308,16.26
200309,15.65
200310,14.74
200311,13.47
200312,12.96
200401,12.61
200402,12.84
200403,13.4
200404,14.3
200405,15.25
200406,15.98
200407,16.27
200408,16.12
200409,15.56
200410,14.6
200411,13.65
200412,12.71
200501,12.65
200502,12.65
200503,13.44
200504,14.42
200505,15.46
200506,16.17
200507,16.46
200508,16.23
200509,15.68
200510,14.68
200511,13.62
200512,12.83
200601,12.5
200602,12.8
200603,13.34
200604,14.22
200605,15.35
200606,16.16
200607,16.42
200608,16.25
200609,15.64
200610,14.68
200611,13.54
200612,13
200701,12.92
200702,12.79
200703,13.37
200704,14.43
200705,15.41
200706,16.05
200707,16.36
200708,16.16
200709,15.59
200710,14.56
200711,13.42
200712,12.67
200801,12.27
200802,12.47
200803,13.44
200804,14.19
200805,15.32
200806,16.03
200807,16.39
200808,16.17
200809,15.55
200810,14.67
200811,13.57
200812,12.74
200901,12.6
200902,12.65
200903,13.27
200904,14.32
200905,15.39
200906,16.17
200907,16.47
200908,16.32
200909,15.73
200910,14.64
200911,13.6
200912,12.85
201001,12.73
201002,12.9
201003,13.58
201004,14.55
201005,15.57
201006,16.25
201007,16.53
201008,16.29
201009,15.62
201010,14.63
201011,13.65
201012,12.66
201101,12.46
201102,12.55
201103,13.3
201104,14.33
201105,15.35
201106,16.14
201107,16.45
201108,16.25
201109,15.59
201110,14.61
201111,13.39
201112,12.75
201201,12.44
201202,12.55
201203,13.21
201204,14.43
201205,15.54
201206,16.22
201207,16.5
201208,16.3
201209,15.74
201210,14.7
201211,13.6
201212,12.67
201301,12.62
201302,12.76
201303,13.37
201304,14.29
201305,15.48
201306,16.19
201307,16.46
201308,16.28
201309,15.68
201310,14.66
201311,13.71
201312,12.87
201401,12.7
201402,12.59
201403,13.46
201404,14.5
201405,15.6
201406,16.27
201407,16.51
201408,16.42
201409,15.79
201410,14.76
201411,13.54
201412,13.01
201501,12.83
201502,12.97
201503,13.62
201504,14.51
201505,15.7
201506,16.41
201507,16.65
201508,16.51
201509,15.94
201510,15.03
201511,13.9
201512,13.35
201601,13.12
201602,13.36
201603,14.01
201604,14.82
201605,15.74
201606,16.43
201607,16.72
201608,16.58
201609,15.94
201610,14.79
201611,13.68
201612,13.03
201701,12.98
201702,13.12
201703,13.78
201704,14.62
201705,15.67
201706,16.34
201707,16.7
201708,16.52
201709,15.86
201710,14.81
201711,13.7
201712,13.07
201801,12.75
201802,12.86
201803,13.59
201804,14.55
201805,15.62
201806,16.28
201807,16.62
201808,16.4
201809,15.83
201810,14.92
201811,13.68
201812,13.08
201901,12.94
201902,12.95
201903,13.79
201904,14.67
201905,15.67
201906,16.45
201907,16.72
201908,16.52
201909,15.94
201910,14.94
201911,13.82
201912,13.25
202001,13.14
202002,13.26
202003,13.88
202004,14.75
202005,15.75
202006,16.42
202007,16.72
202008,16.53
202009,15.94
202010,14.82
202011,13.85
202012,12.98
202101,12.77
202102,12.74
202103,13.55
202104,14.49
202105,15.61
202106,16.39
202107,16.72
202108,16.49
202109,15.88
202110,14.88
202111,13.8
202112,13.03
202201,12.88
202202,12.9
202203,13.64
202204,14.55
202205,15.58
202206,16.38
202207,16.68
202208,16.5
202209,15.87
202210,14.89
